ticker,name,sector,price,shares_outstanding,revenue,gross_profit,operating_income,net_income,operating_cash_flow,capital_expenditures,total_debt,cash,total_equity,total_assets,current_assets,current_liabilities,market_cap,free_cash_flow,gross_margin,operating_margin,net_margin,current_ratio,debt_to_equity,book_value_per_share,revenue_per_share,eps,fcf_per_share,pe_ratio,pb_ratio,ps_ratio,fcf_yield,enterprise_value,ev_to_ebit,ev_to_sales,ev_to_fcf,roe,roa
CDNS,"Cadence Design Systems, Inc.",Technology,278.720001,276092068,5296759000.000000,4574510000.000000,1649781000.000000,1108888000.000000,1728781000.000000,-141871000.000000,2616439000.000000,3001317000.000000,5474181000.000000,10153148000.000000,4669673000.000000,1635291000.000000,76952381529.986450,1586910000.000000,0.863643,0.311470,0.209352,2.855561,0.477960,19.827375,19.184756,4.016370,5.747757,69.395991,14.057332,14.528201,0.020622,76567503529.986450,46.410708,14.455538,48.249430,0.202567,0.109216
CEG,Constellation Energy Corporation,Utilities,272.820007,362294672,25533000000.000000,4693000000.000000,4198000000.000000,2319000000.000000,4237000000.000000,-2949000000.000000,8992000000.000000,3641000000.000000,14517000000.000000,57249000000.000000,12119000000.000000,7944000000.000000,98841235068.565430,1288000000.000000,0.183801,0.164415,0.090824,1.525554,0.619412,40.069593,70.475781,6.400867,3.555117,42.622352,6.808654,3.871117,0.013031,104192235068.565430,24.819494,4.080689,80.894592,0.159744,0.040507
CHTR,"Charter Communications, Inc.",Communication Services,219.789993,124637812,54774000000.000000,30968000000.000000,13324000000.000000,4987000000.000000,16077000000.000000,-11659000000.000000,97121000000.000000,477000000.000000,16054000000.000000,154213000000.000000,5144000000.000000,13306000000.000000,27394143862.678284,4418000000.000000,0.565378,0.243254,0.091047,0.386593,6.049645,128.805214,439.465353,40.011935,35.446707,5.493111,1.706375,0.500130,0.161275,124038143862.678284,9.309377,2.264544,28.075632,0.310639,0.032338
CMCSA,Comcast Corporation,Communication Services,27.930000,3588401619,123707000000.000000,88756000000.000000,20670000000.000000,19998000000.000000,33643000000.000000,-14408000000.000000,98937000000.000000,9481000000.000000,96903000000.000000,272631000000.000000,29567000000.000000,33524000000.000000,100224058313.763275,19235000000.000000,0.717470,0.167088,0.161656,0.881965,1.020990,27.004502,34.474123,5.572955,5.360325,5.011704,1.034272,0.810173,0.191920,189680058313.763275,9.176587,1.533301,9.861194,0.206371,0.073352
COST,Costco Wholesale Corporation,Consumer Defensive,1014.960022,443652540,275235000000.000000,35349000000.000000,10383000000.000000,8099000000.000000,13335000000.000000,-5498000000.000000,8173000000.000000,14161000000.000000,29164000000.000000,77099000000.000000,38380000000.000000,37108000000.000000,450289591746.624756,7837000000.000000,0.128432,0.037724,0.029426,1.034278,0.280243,65.736128,620.384141,18.255277,17.664725,55.598172,15.439912,1.636019,0.017404,444301591746.624756,42.791254,1.614263,56.692815,0.277705,0.105047
CPRT,"Copart, Inc.",Industrials,33.400002,963308388,4646958000.000000,2099643000.000000,1696714000.000000,1552449000.000000,1799750000.000000,-568990000.000000,103739000.000000,2780531000.000000,9187033000.000000,10090902000.000000,5754628000.000000,683281000.000000,32174501629.091949,1230760000.000000,0.451832,0.365124,0.334079,8.422052,0.011292,9.536959,4.823957,1.611580,1.277639,20.724997,3.502165,6.923777,0.038253,29497709629.091949,17.385198,6.347746,23.967069,0.168983,0.153846
CRWD,"CrowdStrike Holdings, Inc.",Technology,399.119995,253614090,4812005000.000000,3593076000.000000,-293292000.000000,-162502000.000000,1612349000.000000,-370859000.000000,820077000.000000,5230125000.000000,4428390000.000000,11086684000.000000,7419119000.000000,4184192000.000000,101222454362.449951,1241490000.000000,0.746690,-0.060950,-0.033770,1.773131,0.185186,17.461136,18.973729,-0.640745,4.895193,-622.899745,22.857620,21.035401,0.012265,96812406362.449951,-330.088807,20.118933,77.980819,-0.036696,-0.014657
CSCO,"Cisco Systems, Inc.",Technology,79.019997,3949893042,56654000000.000000,36790000000.000000,12504000000.000000,10180000000.000000,14193000000.000000,-905000000.000000,28093000000.000000,8346000000.000000,46843000000.000000,122291000000.000000,34986000000.000000,35064000000.000000,312120534919.311340,13288000000.000000,0.649380,0.220708,0.179687,0.997775,0.599727,11.859308,14.343173,2.577285,3.364142,30.660170,6.663120,5.509241,0.042573,331867534919.311340,26.540910,5.857795,24.974980,0.217322,0.083244
CSGP,"CoStar Group, Inc.",Real Estate,39.950001,419793301,3247000000.000000,2561000000.000000,-72000000.000000,7000000.000000,430000000.000000,-389000000.000000,1184000000.000000,1633000000.000000,8334000000.000000,10538000000.000000,2119000000.000000,746000000.000000,16770742695.226871,41000000.000000,0.788728,-0.022174,0.002156,2.840483,0.142069,19.852627,7.734759,0.016675,0.097667,2395.820385,2.012328,5.164996,0.002445,16321742695.226871,-226.690871,5.026715,398.091285,0.000840,0.000664
CSX,CSX Corporation,Industrials,41.220001,1859992927,14092000000.000000,4685000000.000000,4718000000.000000,2889000000.000000,4613000000.000000,-2902000000.000000,19352000000.000000,670000000.000000,13155000000.000000,43682000000.000000,2550000000.000000,3133000000.000000,76668910721.439178,1711000000.000000,0.332458,0.334800,0.205010,0.813916,1.471076,7.072608,7.576373,1.553232,0.919896,26.538218,5.828119,5.440598,0.022317,95350910721.439178,20.210028,6.766315,55.728177,0.219612,0.066137
